course_name,course_url,topics,skills,tools,syllabus_summary
"AI Customer Research Analysis for Designers, Researchers and PMs",https://maven.com/caitlin/aianalysis,"AI, Data Analysis, User Research","A3: Eval & Iteration (80%), A1: Strategy & Feasibility (30%), B1: Models & Selection (30%)","ChatGPT, Claude, Claude Code, Copilot, Custom GPTs, Gemini, Notion AI","Using Multiple Lenses, Reviewing Your Workflows + Identifying Your Top AI Zones, Where AI Works Best in Analysis + How I Use It, Analysis Framework: *FACTSIGHTS*, The Process Overview, Evaluating Prompts: A Workflow with AI, 2 Common Issues + Fixes, 4x Demos: Automating Tasks Together, Your Minimum AI Stack, My Framework for Evaluating AI Tools, Getting Effective AI Synthesis + Prioritizing Insights, Two Step by Step Examples, Parallel analysis tasks with Claude Code Agents, ChatGPT Agent Mode - What Works and Doesn't, Cheatsheet: Small Things that Make a Huge Difference"
AI Engineering Bootcamp & Certificate,https://maven.com/theaiinternship/ai-engineering-bootcamp,"AI, Bootcamp","A3: Eval & Iteration (80%), A4: Shipping & Lifecycle (80%), B1: Models & Selection (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A2: PRD & Specs (30%), A5 (30%)","ChatGPT, Claude, Cursor, Hugging Face, LangChain, LangGraph","Sundar Pichai: CEO of Google and Alphabet | Lex Fridman Podcast, Week 4 Wrap-Up, The Hidden Cost of Autonomy, Embeddings and Similarity Search (Conceptually), What Makes AI Evaluation Hard, Human-in-the-Loop Is a Feature, Not a Failure, Slides, Google AI Studio: From Promt to Prototype, Rule-Based Checks and Hard Constraints, Workflows Are the Default for Production Systems, Slides and Code, From Prompt to Reliable Component, Code, ASSIGNMENT: Build & Deploy FastAPI LLM API, Submit: Week 3 Assignment 1"
AI Engineering Buildcamp: From RAG to Agents,https://maven.com/alexey-grigorev/from-rag-to-agents,"Agentic AI, Bootcamp, RAG","A3: Eval & Iteration (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A2: PRD & Specs (30%), B1: Models & Selection (30%), A5 (30%)","ChatGPT, Claude, Claude Code, Copilot, Cursor, GPT-4, Gemini, Google Colab, LangChain, LangGraph, Lovable, NotebookLM, OpenAI API, Pinecone","Prompt engineering, Introduction to Retrieval-Augmented Generation (RAG), Section overview, Input Guardrails in Pydantic AI via Tool Calls, (Optional) Selecting the Best Chunking Approach with Evals, (Optional) Judge Evaluations with Evidently, Groq, LLM Judges for Agent Evaluation, AI-Assisted development, Testing tool calls, Writing Your First Agent Test, Structured output (*), Streaming with PydanticAI (*), [OLD] Vector Search with Qdrant, (Optional) Connect to MCP from Cursor"
AI Evals For Engineers & PMs,https://maven.com/parlance-labs/evals,"AI, AI Evals","A3: Eval & Iteration (80%), A1: Strategy & Feasibility (30%), A2: PRD & Specs (30%), A4: Shipping & Lifecycle (30%), B1: Models & Selection (30%), B3: Agents & RAG (30%)","LangChain, LangGraph, OpenAI API","Optional HW, Chapter 8: Correcting Bias in LLM-as-Judge Evaluators, HW 5 walkthrough with Braintrust (pre-recorded), HW 1&2 walkthrough with LangSmith (pre-recorded), Chapter 1: Introduction, HW 1&2 walkthrough with Phoenix (pre-recorded), This Week's Overview, Chapter 2: Create Synthetic Data, HW 5 walkthrough with Phoenix (pre-recorded), Additional Links, Frequently Asked Questions, HW 3 walkthrough with Phoenix (pre-recorded), Recorded Lesson: Automated Evaluators, Two things to do to get started, Guest Speakers"
AI Evals and Analytics Playbook,https://maven.com/ai-evals-and-analytics/ai-evals-analytics-playbook,"AI, AI Evals","A3: Eval & Iteration (80%), A1: Strategy & Feasibility (30%), A2: PRD & Specs (30%), A4: Shipping & Lifecycle (30%), B1: Models & Selection (30%), B3: Agents & RAG (30%)",ChatGPT,"Reading Materials, AI Evaluation Playbook Template, [SUBMIT BEFORE SESSION 1] Survey, You can schedule your 1:1 playbook feedback with us, Download AI Evals & Analytics Glossary, 2-Year All-Access Membership to the DSxAI Newsletter, 3 things to do to get started, Course Overview & Requirements"
AI Evals for PMs Certification,https://maven.com/aiproducthub/genai-evals-certification,"AI, AI Evals","A3: Eval & Iteration (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A4: Shipping & Lifecycle (30%), B1: Models & Selection (30%), B2: System Architecture (30%), A5 (30%)","ChatGPT, GPT-4, Hugging Face, OpenAI API, Perplexity, Pinecone, Replit","Session Slides and Resources, Build your measurement framework, The Metric Pyramid, Evaluating RAG, Case Studies in AI Evaluation Failures, Opik Quick-Start & Tooling Guide, Follow these steps to get your Opik API key on Comet, Course Goals, A PM’s Guide to RAG, Follow these steps to get your OpenAI API key, Prepare your launch recommendation, The Probabilistic Paradigm Shift, Edge Case & Safety Library, Creating an eval dataset for a real AI product, Where Evaluations Fit in the AI Product Lifecycle"
AI Lab for Lawyers,https://maven.com/niklas-schmidt/ai-lab-for-lawyers,AI,"A1: Strategy & Feasibility (30%), B1: Models & Selection (30%)","ChatGPT, Custom GPTs, Midjourney","5 ways to make the most of cohort-based courses, A legal comment from my side, Navigating the course content on Maven, Frequently Asked Questions, Setting yourself up for a successful course"
AI Mastery for Business Leaders,https://maven.com/savant-ai/ai-mastery-for-business-leaders,"AI, Agentic AI","A1: Strategy & Feasibility (30%), B2: System Architecture (30%), B3: Agents & RAG (30%)","ChatGPT, Claude, Copilot, Custom GPTs, Figma, Gemini, LangChain, Make, NotebookLM, Notion AI, Perplexity, Zapier, n8n","Definition: What is an AI Assistant?, Demo Video Library: Week 1, Where You Will Arrive, Techniques: From Basic Chat to Advanced Prompting, Week 3: Slides, Demo Video Library: Week 3, AI Assistant - Mini Project & Quiz, Techniques - Mini Project & Quiz, Your Digital Twin - Mini Project & Quiz, AI Avatar - Mini Project & Quiz, Your Company AI Avatar - Mini Project & Quiz, AI Automation: Mini Project & Quiz, Landscape: Mini Project & Quiz, Techniques: Mini Project & Quiz, Definition: Mini Project & Quiz"
"AI PM Expert Track: Claude Code, AI Product Sense & Interview Preparation",https://maven.com/mahesh-yadav/ai-pm-interview-prep-bootcamp,"Agentic AI, Interviewing","A1: Strategy & Feasibility (80%), A3: Eval & Iteration (80%), B1: Models & Selection (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A2: PRD & Specs (30%), A4: Shipping & Lifecycle (30%), A5 (80%)","ChatGPT, Claude, Claude Code, Gemini, Lovable, OpenAI API, Perplexity, Replit, v0","Day 19 —  Learning Material, Day 5 — Learning Material, Day 13 — Learning Material, Day 6 — Learning Focus, Hands on Lab, Day 11 —  Learning Material, Hands on Lab - Module 3 Creating Subagent & Mocks, Day 2 — Learning Material, Live Session schedule, Day 10 —  Learning Material, Day 12 —  Learning Material, Day 7 —  Learning Material, Day 17 —  Learning Material, Day 16 — Learning Material, LIVE with Shobhit: Make Sense Out Of Product Sense - Jan 16th @11:00 AM PST"
AI Product Leadership Certification ,https://maven.com/product-faculty/ai-product-leadership-training,Product Strategy,A1: Strategy & Feasibility (80%),,"Week 2 Covers, Bonus Module Covers"
AI Product Management 101 & Certification - Building AI Products end-to-end,https://maven.com/marily-nika/ai-product-management,"AI, Product Management Certifications","A2: PRD & Specs (80%), B1: Models & Selection (80%), A1: Strategy & Feasibility (30%), B2: System Architecture (30%)","ChatGPT, DALL-E, GPT-4, Google Colab, Perplexity","Marily's AI PM Interview with Lenny, Intro to Generative AI, Establishing Technical Influence, [Optional] Data Science Tutorial #1, Exercise: Create your own AI PRD, Exercise: Getting familiarized, Exercise: Algorithms, AI Tools Overview, AI Product Management, Introduction to Google Colab, Share love 💖, Building AI, Course Syllabus, Measuring Success of AI Products, Building AI-Powered Products (Marily's book)"
AI Product Management Bootcamp & Certification by AI Product Academy,https://maven.com/marily-nika/ai-pm-bootcamp,"AI, Product Management Certifications","A4: Shipping & Lifecycle (80%), B1: Models & Selection (80%), B2: System Architecture (80%), A1: Strategy & Feasibility (30%), A2: PRD & Specs (30%), B3: Agents & RAG (30%)","ChatGPT, DALL-E, GPT-4, Gemini, Google Colab, Perplexity, Zapier","Neural Networks and Deep Learning, Introduction to Google Colab, The AI Product Development Lifecycle & Free access to Harvard article, Advanced Machine Learning Techniques, What will you start / stop doing in order to adapt to the upcoming changes?, How will AI affect you/your own org/team directly and indirectly?, [Book] The AI Ladder, Building AI, What is Phase 3?, Templates, [Optional] Data Science Tutorial #1, AI Trends, Red teaming, Computer Architecture, [Optional] Data Science Tutorial #2"
AI Product Management Certification,https://maven.com/product-faculty/ai-product-management-certification,"AI, Product Management Certifications","A1: Strategy & Feasibility (80%), A2: PRD & Specs (80%), A4: Shipping & Lifecycle (80%), B1: Models & Selection (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A3: Eval & Iteration (30%), A5 (30%)",Cursor,"Lesson 1 - Introduction to the AI Product Stack, Why Technical Literacy Matters, Lesson 1 -  Introduction to AI & LLMs, Lesson 1 — User Experience Mapping Ideation And Prioritization, Lesson 1 — AI Product Design, Lesson 1 — 4D Develop Phase, Lesson 1 — 4D Deploy Phase, Lesson 1 – Introduction to AI Product Management, Lesson 2 - The AI Impact Map, Lesson 2 - The Foundation Model, How LLMs are Built, Lesson 2 — AI PRD, Lesson 3 - How AI is Transforming Product Work, Lesson 3 - How LLMs Behave, Lesson 4 - The PM as Orchestrator of Intelligence, Class Slides, Questions & Support"
AI Product Sense & AI PM Interview Lab,https://maven.com/marily-nika/ace-ai-pm-interview,"AI, Interviewing, Product Strategy","A1: Strategy & Feasibility (80%), A2: PRD & Specs (30%), A3: Eval & Iteration (30%)",,
AI Product Strategy Certificate for Leaders,https://maven.com/product-faculty/ai-product-strategy-certificate,"AI, Product Strategy","A1: Strategy & Feasibility (80%), A4: Shipping & Lifecycle (30%)",,"Lesson 1 - Understanding Four Layers of Change, Lesson 1 - AI Strategy Fundamentals, Lesson 1 - Operationalizing Your Product Strategy, Lesson 1 - Leading in AI Era, Lesson 1 - Architecting Your AI Product Strategy, Class Slides, AI Executive Insights - Carl Vellotti, Class Exercise, Questions & Support, Important Dates & Key Links"
AI Prompting for In-House Legal - 101,https://maven.com/ceciliaz/prompting-crash,AI,"A1: Strategy & Feasibility (30%), B1: Models & Selection (30%)",,Pre-class checklist
AI Prototyping for Product Designers,https://maven.com/anna-arteeva/prototyping-for-designers,"AI, Coding with AI, Prototyping","A1: Strategy & Feasibility (30%), A4: Shipping & Lifecycle (30%), B2: System Architecture (30%), D1: Communication & Influence (30%), A5 (80%)","Bolt, ChatGPT, Claude, Claude Code, Copilot, Cursor, DALL-E, Figma, Gemini, Hugging Face, Lovable, Midjourney, Replit, Stable Diffusion, Windsurf, v0","User Location, Local Storage, Offline Mode and more, External APIs, Using other UI libraries and the trade-offs involved, Fonts and icons as part of the system, ShadCN: components without lock-in, Connecting Lovable to GitHub: why, how, when, Lovable defaults and why they exist, Tailwind animations, Why chunking beats hero prompts, Use cases: design, prototypes, reusable code, production-ready products, Builder.io - step by step guide, Persisting the Create Event flow into the database, Building your first app, Prompt refinement, Building, refactoring and reusing components"
AI Prototyping for Product Managers,https://maven.com/tech-for-product/ai-prototyping-for-product-managers,"AI, Prototyping","A3: Eval & Iteration (30%), B2: System Architecture (30%), A5 (80%)","Bolt, ChatGPT, Cursor, Figma, Lovable, Replit, v0","Using Consoles, Chrome Extensions, 3-Tier Architecture Review, JSON, Make a POST request, Assignment #0, Build your first prototype, Convert a design to a functional prototype, Assignment #1: Build your personal software, Assignment #2 - Create a component library, Use reflection with Bolt, Assignment #3: Debug an broken app, Build your own ChatGPT, Assignment #4: Prototype an AI feature, Replit Best Practices"
AI Red Teaming & AI Security Masterclass,https://maven.com/learn-prompting-company/ai-red-teaming-and-ai-safety-masterclass,"AI, Security","A1: Strategy & Feasibility (80%), A3: Eval & Iteration (80%), B1: Models & Selection (30%), B2: System Architecture (30%), B3: Agents & RAG (30%), A5 (30%)","ChatGPT, Cursor, GPT-4, Gemini, Lovable, Midjourney, Perplexity","Predictions, Evaluation, Project Kickoff: Hack HackAPrompt (Intro Track), Learning Outcomes, Project: Hack HackAPrompt 1.0, Project: Healthcare Portal, Harms Companies Care About, Attack Techniques, Get Started, Builders and Buyers, Cyber Harms, Why prompt hacking occurs, Where can I see notes on the lectures?, Overview of classical and AI cybersecurity, Detection Models"
AI Software Development: From First Prompt to Production Code,https://maven.com/the-modern-software-developer/ai-course,"AI, Coding with AI","B3: Agents & RAG (80%), A3: Eval & Iteration (30%), B2: System Architecture (30%), A5 (80%)","Claude, Claude Code","Custom Agent Tooling, Synchronous AI Software Development, Implementing the RePPIT Dev Loop, Your Own AI-first Development Environment, Background Agent Software Engineering, Building a Coding Agent From Scratch, Customizing Agent Behavior, How Coding Agents Use Tools, Asynchronous Coding Agent Workflows, This Week's Overview: Objectives, Readings, and HWs, Orientation: Required Reading, Discord & Course Materials, Evaluating the AI Coding Landscape, Creating Agent-Ready Development Environments"
AI Superpower: Build & Ship Your Production AI Agent in 3 Weeks,https://maven.com/ai-nate/ai-superpower,"AI, Agentic AI","A4: Shipping & Lifecycle (80%), B3: Agents & RAG (80%), A1: Strategy & Feasibility (30%), A2: PRD & Specs (30%), B2: System Architecture (30%), D1: Communication & Influence (30%), A5 (80%)","Claude, Cursor, Gemini, LangChain, Lovable, Zapier, n8n","A Personal Note from Nathan, Set Up Firebase (The Database), Step 1: Define the Problem, Your Own AI App Landing Page, Project 3.1: Frontend Dashboard & Functional UI/UX, Project 3.2: Backend API to Enable Frontend Functions, Go Live for Your AI Agent App, Step 2: The AI Spec Sheet, The Land Grab (Domain & Hosting), The Production Build, Provisioning the ""Metal"" (Creating the VM), The Taste Test (Verification Script), ReAct Paper Link, [Optional] The ""Magic Rewrite"" (Fixing the 404 Error), Install Flutter SDK (The Frontend)"
AI Systems Design & Inference Engineering,https://maven.com/goabiaryan/inferencing,"AI, Developing AI Models, Machine Learning, Optimization, System Design","A4: Shipping & Lifecycle (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), A3: Eval & Iteration (30%), B1: Models & Selection (30%)",,"Further Reading (Optional), Test your understanding"
AI Systems for Marketers: Save 5-10 Hours Weekly and Scale Your Impact,https://maven.com/silvi-specter/ai-systems-for-marketers,"AI, Marketing, Productivity","B1: Models & Selection (80%), A1: Strategy & Feasibility (30%), B2: System Architecture (30%)","ChatGPT, Claude, Custom GPTs, Gemini, Perplexity","Project: Test Drive Your LLMs, Project: Build Your System for Staying Current, Project: Create Your Custom Voices, Project: Build Your Custom Content Projects, Project: Build Your Time-Saving Workflows, Project: Extract Customer Insights, Project: Conduct AI-Driven Market Research, Project: Build Your Process Documentation System, Project: Create an AI Feedback Project, Project: Reflect On What You Want To Learn, Project: Reflect On Your Takeaways, Project: Personalize Your Claude Preferences, Project: Build An Advisory Board of Your Favorite Thought Leaders, Lesson: ChatGPT vs Claude Deep Dive, Lesson: Top 5 AI Models, Explained"
AI for Customer Research: Future-Proof Your UX & Product Skills,https://maven.com/john-whalen/ai-skills-for-research,"AI, User Research","A1: Strategy & Feasibility (30%), A3: Eval & Iteration (30%)","ChatGPT, Claude, Copilot, Figma, Gemini, Perplexity","Discussion: AI-moderation experiences, Guidebook 5: The UX Researcher's Future Skills and Role, Strategic 1:1 with John, Demo: Creating an AI-Moderated Interview + Participant Experience, Take away: AI moderation best practices guide, Presentation: Implications of AI-powered moderation + analysis, Project 1: Create an AI-Moderated Interview Study, Project 2: Complete an AI-Powered Analysis, Project 3: Create and interact with synthetic users, Guidebook 4: Leveraging Synthetic Users for Research, Guidebook 3: Conducting AI-Powered Analysis, Activity: Document your current research workflow, Take away: Synthetic users best practices, Guidebook 1: Prompt Engineering for Research, Guest Expert: AI-powered workflow how-to session"
AI for Product Designers,https://maven.com/xinran/ai-for-product-designers,"AI, Figma, Prototyping","A1: Strategy & Feasibility (30%), B1: Models & Selection (30%), D1: Communication & Influence (30%), A5 (80%)","Bolt, ChatGPT, Claude, Claude Code, Cursor, Figma, Gemini, Lovable, NotebookLM, OpenAI API, Perplexity, Replit, Windsurf","Overview of Figma and FigJam AI Features, The different applications of AI in product design, An Overview of AI Tools on the Market, Recorded Guest Talk - How Workday's Team Uses AI, GPTs for Product Designers, Google AI Studio Crash Course, Magic Patterns Crash Course, 1:1 Office Hour, Course Project, [Extended Reading] An Overview of Fusion, Top 45 Figma AI Plugins, [Extended Reading] The Lovable—Github—Cursor Workflow, V0 Crash Course, The recurring themes to learn in the age of AI, AI Prompting Guide for Product Designers"
AI for Strategic Content Marketing: Building the Future of Engagement,https://maven.com/lisa-peyton/ai-for-strategic-content-marketing,Content Marketing,"A1: Strategy & Feasibility (30%), B1: Models & Selection (30%), B3: Agents & RAG (30%), D1: Communication & Influence (30%)","ChatGPT, Claude, Gemini, LangChain, Midjourney, NotebookLM, Perplexity, Stable Diffusion, Zapier, n8n","Chat With PIA, Part 3 Podcast - Mini, Read This First: Important Information, Practical exercise: Designing an AI customer companion for your target audience, GenAI Tool Directory Fall 2025, Download the Advanced AI Prompting Guide for Content Marketers, Part 3 Podcast - Full, Download Core Course Video Recommendations, Download the AI for Strategic Content Marketing Workbook, Download the Glossary of Key AI Terms, Download the Ultimate Guide to Meta-Prompting for Content Marketers, Part 1 Podcast - Mini: 5 mins, Part 1 Podcast - Full: 20 mins, Part 2 Podcast - Mini, Part 2 Podcast - Full"
AI for Strategic Research: Deepen Your Insights Without Automating Your Craft,https://maven.com/amplifydesign/applied-ai,"AI, User Research","A3: Eval & Iteration (80%), B1: Models & Selection (80%), A1: Strategy & Feasibility (30%), A5 (30%)","ChatGPT, Claude, Figma, Gemini, NotebookLM, Replit","Practice: Define your AI- supported process, Practice: Create a research guide, Practice: Clean transcripts for AI synthesis, Practice: Rewrite bad AI prompts, Practice: First pass synthesis with AI, Deepen and stress test your insights with AI, Practice: Develop your own evaluation toolkit, Practice: Create your diligence checklist, Communicate and defend AI-supported insights to stakeholders, Develop your designer value statement, The 4D Framework: Description, Research materials, The 4D Framework: Delegation, Business context, Four things to do to get started"
AI in Marketing Bootcamp: 4 weeks,https://maven.com/tata-may/ai-in-marketing-bootcamp,AI,"A1: Strategy & Feasibility (80%), B3: Agents & RAG (30%), D1: Communication & Influence (30%), A5 (30%)","ChatGPT, Claude, Figma, Lovable, Make, Perplexity","Customer research and lead generation using AI, Initial assessment: Questions to answer, Project 1. Submit here: Your growth processes, Task 1 - Mapping out your current marketing workflow, Task 2 - Tone of voice training, Task 3 - Create your marketing website, Pre-work - Task 4 - Creating a Linkedin Post, Task 4 - Creating Lead Gen List, Task 5 - Creating logos, photos and ads, Task 6 - Building you content repurposing automation with Picsart, Task 7 - Building your first flow in Mindstudio, Complete your pre-work, Ad and content making using AI: foundations and practical steps, Prompting masterclass, Files to bring"
AI powered People Ops,https://maven.com/peoplexrobots/ai-powered-people-ops,"AI, People Ops","B1: Models & Selection (80%), A1: Strategy & Feasibility (30%), A3: Eval & Iteration (30%), B2: System Architecture (30%)","ChatGPT, Claude, Make, Notion AI, Zapier","Recorded Learning - AI Automation for Daily Wins, Recorded session - AI-Powered Change: Progression & Beyond, Recorded Session - Unlocking Insights with AI Data, Recorded session - Crafting AI-Powered Employee Experiences"
AI x Creative Accelerator,https://maven.com/neolemon/generative-ai-training-for-creatives,AI,"A1: Strategy & Feasibility (30%), B1: Models & Selection (30%), B2: System Architecture (30%), A5 (30%)","ChatGPT, Lovable, Midjourney, Perplexity, Stable Diffusion","Does AI Have Creativity and Imagination? (5min), 📌 Prompt Structure (13 min), Midjourney v7 Omni-Reference (--oref), Office hours & Support, What is Prompt Engineering?, When to use Perplexity?, 📌 Fundamentals of AI (6 min), 📌  From Noise to Image  (Why Prompts matter?) (5 min), Project: Animated Character, Prompt Craft: Camera Angles and Composition, 📌 Step-by-Step: Image to Video (9 min), Bonus: Abstract Shapes Animation Workflow, Strategies for better prompting, Storyboard AI Artist GPT by Neolemon, ChatGPT Prompt for Rapid Concept Expansion and Creative Execution"
AI-ML Projects for Data Professionals,https://maven.com/prepvector/ml-projects,AI,"A3: Eval & Iteration (80%), A4: Shipping & Lifecycle (80%)",Hugging Face,"Module Overview, Create Your Github Repository, Build Your Code: Uber ETA Prediction, [Optional] Showcase Your Work!, Build Your Code: Demand Forecasting, Build Your Code:, Showcase Your Work!, Data Science Foundations, Organizing a Data Science Workflow, Introduction to Git, Intro to Containerization, Problem Statement, Scoping Machine Learning Projects, Intro to StreamLit Deployment, Pre-reads"
AI-Powered Project Management,https://maven.com/justinbateh/pmcertificate,"AI, Project Management","A1: Strategy & Feasibility (80%), A4: Shipping & Lifecycle (30%), B1: Models & Selection (30%)","ChatGPT, Claude, Copilot, Custom GPTs, Gemini, NotebookLM, Zapier","What Others Leaders Are Saying About This Experience, Human-in-the-Loop Design Framework, Overcome Analysis Paralysis, AI: Redefine Project Roles in the Age of AI, Guided Project Walkthrough with GenAI: Part 1, AI: Automate-Assist-Human Decision Framework, Manage Up Like a Pro, Become The Project Manager Everyone Wants To Work With, Leadership 90 Change Launch Plan, Build Trust and Win Buy-In Fast, What “End-to-End Ownership” Actually Means (And Why Most PMs Don’t Have It), Build Your AI Strategy in 60 Minutes, Guest Expert - Jill Avey: Build Trust with Conversational Intelligence, The LEVER Framework: Identifying the right AI Use Cases, Win Stakeholders with the Right Narrative"
AI-Powered Search: Modern Retrieval for Humans & Agents,https://maven.com/search-school/ai-powered-search,AI,"A3: Eval & Iteration (80%), B2: System Architecture (80%), B3: Agents & RAG (80%), B1: Models & Selection (30%)",,"Feature engineering, Code Notebooks, Code Notebooks (Github), Slides, Active learning, Scalar & Binary Quantization, Wormhole Vectors, Model serving, Personalized Search & Behavioral Embeddings, ""Bag of documents"" approaches, Embeddings & vector search, Semantic Caching, Machine Learned Ranking (LTR) Intro, Naive RAG, Combining Optimization Strategies"
AI-Powered Strategic Design Accelerator,https://maven.com/jacalin-ding/ai-powered-strategic-design-accelerator,"Career Growth, Leadership",D1: Communication & Influence (30%),,"1.1 - Business Metrics, Module 1 - Assignment - Business Strategic Opportunity, 1 - Self Reflection & Realisation, 1.2 - Build Data-backed Design Rationales, 1.2 - Strategic Trade Offs, 1.1 - Creating Effective Feedback Loops, 1 - Business Vision and Mission, 2.3 - ROI Thinking Formula, 2.4 - Choosing The Right Tool at The Right Time, 2.1 - Organisation Strategy, 2.1 - Design ROI Fundamentals, 2 - Design Career Path, 2.2 - Advanced ROI Strategies, 3 - Maximize Impact with Metrics, 3.1 - Communicating Design to Business Partners"
AI-Ready School Leaders (Certification Program),https://maven.com/ajjuliani/ai-ready-school-leaders-certification-program,"AI, Communication, Leadership, Management","A1: Strategy & Feasibility (30%), B1: Models & Selection (30%)","ChatGPT, Claude, Gemini, NotebookLM","What Does It Look Like To Use AI For Good?, Show your AI Fluency:, Chat From First Session, The Time Is Now, AI Compatible or AI Resistant"
AI-Ready Woman,https://maven.com/weareagentic/cohort-signup,"AI, Productivity",,,
